Column1,sora,aya,text,tafseer,emlaey
2839,24,49,وَإِن يَكُن لَّهُمُ ٱلۡحَقُّ يَأۡتُوٓاْ إِلَيۡهِ مُذۡعِنِينَ,"وإن علموا أن الحق لهم، وأنه سيحكم لصالحهم يأتوا إليه منقادين خاضعين.",وان يكن لهم الحق ياتوا اليه مذعنين
2840,24,50,أَفِي قُلُوبِهِم مَّرَضٌ أَمِ ٱرۡتَابُوٓاْ أَمۡ يَخَافُونَ أَن يَحِيفَ ٱللَّهُ عَلَيۡهِمۡ وَرَسُولُهُۥۚ بَلۡ أُوْلَـٰٓئِكَ هُمُ ٱلظَّـٰلِمُونَ,"أفي قلوب هؤلاء مرض لازم لها، أم شكّوا في أنه رسول الله، أم يخافون أن يجور الله عليهم ورسوله في الحكم؟ ليس ذلك لشيء مما ذُكر، بل لعلة في أنفسهم بسبب إعراضهم عن حكمه وعنادهم له.",افي قلوبهم مرض ام ارتابوا ام يخافون ان يحيف الله عليهم ورسوله بل اولئك هم الظالمون
2841,24,51,إِنَّمَا كَانَ قَوۡلَ ٱلۡمُؤۡمِنِينَ إِذَا دُعُوٓاْ إِلَى ٱللَّهِ وَرَسُولِهِۦ لِيَحۡكُمَ بَيۡنَهُمۡ أَن يَقُولُواْ سَمِعۡنَا وَأَطَعۡنَاۚ وَأُوْلَـٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,"إنما كان قول المؤمنين إذا دُعُوا إلى الله، وإلى الرسول ليحكم بينهم أن يقولوا: سمعنا قوله، وأطعنا أمره، وأولئك المتصفون بتلك الصفات هم الفائزون في الدنيا والآخرة.",انما كان قول المؤمنين اذا دعوا الى الله ورسوله ليحكم بينهم ان يقولوا سمعنا واطعنا واولئك هم المفلحون
2842,24,52,وَمَن يُطِعِ ٱللَّهَ وَرَسُولَهُۥ وَيَخۡشَ ٱللَّهَ وَيَتَّقۡهِ فَأُوْلَـٰٓئِكَ هُمُ ٱلۡفَآئِزُونَ,"ومن يطع الله ويطع رسوله، ويستسلم لحكمهما، ويَخَفْ ما تَجُرُّه المعاصي، ويتّق عذاب الله بامتثال أمره، واجتناب نهيه، فأولئك وحدهم هم الفائزون بخيري الدنيا والآخرة.",ومن يطع الله ورسوله ويخش الله ويتقه فاولئك هم الفائزون
2843,24,53,۞وَأَقۡسَمُواْ بِٱللَّهِ جَهۡدَ أَيۡمَٰنِهِمۡ لَئِنۡ أَمَرۡتَهُمۡ لَيَخۡرُجُنَّۖ قُل لَّا تُقۡسِمُواْۖ طَاعَةٞ مَّعۡرُوفَةٌۚ إِنَّ ٱللَّهَ خَبِيرُۢ بِمَا تَعۡمَلُونَ,"وحلف المنافقون بالله أقصى أيمانهم المغلظة التي يستطيعون الحلف بها: لئن أمرتهم بالخروج إلى الجهاد ليخرجُن، قل لهم - أيها الرسول -: لا تحلفوا، فكذبكم معروف، وطاعتكم المزعومة معروفة، والله خبير بما تعملون، لا يخفى عليه شيء من أعمالكم مهما أخفيتموها.",واقسموا بالله جهد ايمانهم لئن امرتهم ليخرجن قل لا تقسموا طاعة معروفة ان الله خبير بما تعملون
2844,24,54,قُلۡ أَطِيعُواْ ٱللَّهَ وَأَطِيعُواْ ٱلرَّسُولَۖ فَإِن تَوَلَّوۡاْ فَإِنَّمَا عَلَيۡهِ مَا حُمِّلَ وَعَلَيۡكُم مَّا حُمِّلۡتُمۡۖ وَإِن تُطِيعُوهُ تَهۡتَدُواْۚ وَمَا عَلَى ٱلرَّسُولِ إِلَّا ٱلۡبَلَٰغُ ٱلۡمُبِينُ,"قل - أيها الرسول - لهؤلاء المنافقين: أطيعوا الله وأطيعوا الرسول، في الظاهر والباطن، فإن تتولوا عما أمرتم به من طاعتهما فإنما عليه هو ما كُلَّف به من التبليغ، وعليكم أنتم ما كُلَّفتم به من الطاعة، والعمل بما جاء به، وإن تطيعوه بفعل ما أمركم بفعله وبالكف عما نهاكم عنه تهتدوا إلى الحق، وليس على الرسول إلا البلاغ الواضح، فليس عليه حملكم على الهداية، وإجباركم عليها.",قل اطيعوا الله واطيعوا الرسول فان تولوا فانما عليه ما حمل وعليكم ما حملتم وان تطيعوه تهتدوا وما على الرسول الا البلاغ المبين
2845,24,55,وَعَدَ ٱللَّهُ ٱلَّذِينَ ءَامَنُواْ مِنكُمۡ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ لَيَسۡتَخۡلِفَنَّهُمۡ فِي ٱلۡأَرۡضِ كَمَا ٱسۡتَخۡلَفَ ٱلَّذِينَ مِن قَبۡلِهِمۡ وَلَيُمَكِّنَنَّ لَهُمۡ دِينَهُمُ ٱلَّذِي ٱرۡتَضَىٰ لَهُمۡ وَلَيُبَدِّلَنَّهُم مِّنۢ بَعۡدِ خَوۡفِهِمۡ أَمۡنٗاۚ يَعۡبُدُونَنِي لَا يُشۡرِكُونَ بِي شَيۡـٔٗاۚ وَمَن كَفَرَ بَعۡدَ ذَٰلِكَ فَأُوْلَـٰٓئِكَ هُمُ ٱلۡفَٰسِقُونَ,"وعد الله الذين آمنوا منكم بالله وعملوا الأعمال الصالحات، أن ينصرهم على أعدائهم، ويجعلهم خلفاء في الأرض مثل ما جعل من قبلهم من المؤمنين خلفاء فيها، ووعدهم أن يجعل دينهم الذي ارتضاه لهم - وهو دين الإسلام- مكينًا عزيزًا، ووعدهم أن يُبَدِّلهم من بعد خوفهم أمانًا، يعبدونني وحدي، لا يشركون بي شيئًا، ومن كفر بعد تلك النعم فأولئك هم الخارجون عن طاعة الله.",وعد الله الذين امنوا منكم وعملوا الصالحات ليستخلفنهم في الارض كما استخلف الذين من قبلهم وليمكنن لهم دينهم الذي ارتضى لهم وليبدلنهم من بعد خوفهم امنا يعبدونني لا يشركون بي شيئا ومن كفر بعد ذلك فاولئك هم الفاسقون
2846,24,56,وَأَقِيمُواْ ٱلصَّلَوٰةَ وَءَاتُواْ ٱلزَّكَوٰةَ وَأَطِيعُواْ ٱلرَّسُولَ لَعَلَّكُمۡ تُرۡحَمُونَ,"وأدّوا الصلاة على أكمل وجه، وأعطوا زكاة أموالكم، وأطيعوا الرسول بفعل ما أمركم به وترك ما نهاكم عنه؛ رجاء أن تنالوا رحمة الله.",واقيموا الصلاة واتوا الزكاة واطيعوا الرسول لعلكم ترحمون
2847,24,57,لَا تَحۡسَبَنَّ ٱلَّذِينَ كَفَرُواْ مُعۡجِزِينَ فِي ٱلۡأَرۡضِۚ وَمَأۡوَىٰهُمُ ٱلنَّارُۖ وَلَبِئۡسَ ٱلۡمَصِيرُ,"لا تظنّن - أيها الرسول - الذين كفروا بالله يفوتونني إذا أردت أن أنزل بهم العذاب، ومأواهم يوم القيامة جهنم، وَلَسَاء مصير مَنْ جهنم مصيرهم.",لا تحسبن الذين كفروا معجزين في الارض وماواهم النار ولبئس المصير
2848,24,58,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لِيَسۡتَـٔۡذِنكُمُ ٱلَّذِينَ مَلَكَتۡ أَيۡمَٰنُكُمۡ وَٱلَّذِينَ لَمۡ يَبۡلُغُواْ ٱلۡحُلُمَ مِنكُمۡ ثَلَٰثَ مَرَّـٰتٖۚ مِّن قَبۡلِ صَلَوٰةِ ٱلۡفَجۡرِ وَحِينَ تَضَعُونَ ثِيَابَكُم مِّنَ ٱلظَّهِيرَةِ وَمِنۢ بَعۡدِ صَلَوٰةِ ٱلۡعِشَآءِۚ ثَلَٰثُ عَوۡرَٰتٖ لَّكُمۡۚ لَيۡسَ عَلَيۡكُمۡ وَلَا عَلَيۡهِمۡ جُنَاحُۢ بَعۡدَهُنَّۚ طَوَّـٰفُونَ عَلَيۡكُم بَعۡضُكُمۡ عَلَىٰ بَعۡضٖۚ كَذَٰلِكَ يُبَيِّنُ ٱللَّهُ لَكُمُ ٱلۡأٓيَٰتِۗ وَٱللَّهُ عَلِيمٌ حَكِيمٞ,"يا أيها الذين آمنوا بالله، وعملوا بما شرعه لهم، ليطلب منكم الإذن عبيدكم وإماؤكم والأطفال الأحرار الذين لم يبلغوا سن الاحتلام في ثلاثة أوقات: من قبل صلاة الصبح وقت إبدال ثياب النوم بثياب اليقظة، وفي وقت الظهيرة حين تخلعون ثيابكم للقيلولة، وبعد صلاة العشاء؛ لأنه وقت نومكم وخلع ثياب اليقظة ولبس ثياب النوم، هذه ثلاثة أوقات عورات لكم، لا يدخلون فيها عليكم إلا بعد إذن منكم، ليس عليكم حرج في دخولهم دون استئذان، ولا عليهم هم حرج فيما عداها من الأوقات، هم كثيرو التطواف عليكم، بعضكم يطوف على بعض، فيتعذّر منعهم من الدخول في كل وقت إلا باستئذان، كما بيّن الله لكم أحكام الاستئذان يبيّن لكم الآيات الدالة على ما شرعه لكم من أحكام، والله عليم بمصالح عباده، حكيم فيما يشرعه لهم من أحكام.",يا ايها الذين امنوا ليستاذنكم الذين ملكت ايمانكم والذين لم يبلغوا الحلم منكم ثلاث مرات من قبل صلاة الفجر وحين تضعون ثيابكم من الظهيرة ومن بعد صلاة العشاء ثلاث عورات لكم ليس عليكم ولا عليهم جناح بعدهن طوافون عليكم بعضكم على بعض كذلك يبين الله لكم الايات والله عليم حكيم
2849,24,59,وَإِذَا بَلَغَ ٱلۡأَطۡفَٰلُ مِنكُمُ ٱلۡحُلُمَ فَلۡيَسۡتَـٔۡذِنُواْ كَمَا ٱسۡتَـٔۡذَنَ ٱلَّذِينَ مِن قَبۡلِهِمۡۚ كَذَٰلِكَ يُبَيِّنُ ٱللَّهُ لَكُمۡ ءَايَٰتِهِۦۗ وَٱللَّهُ عَلِيمٌ حَكِيمٞ,"وإذا بلغ الأطفال منكم سن الاحتلام فليطلبوا الإذن عند الدخول على البيوت في كل الأوقات مثل ما ذكر بشأن الكبار سابقًا، كما بيّن الله لكم أحكام الاستئذان يبيّن الله لكم آياته، والله عليم بمصالح عباده، حكيم فيما يشرعه لهم.",واذا بلغ الاطفال منكم الحلم فليستاذنوا كما استاذن الذين من قبلهم كذلك يبين الله لكم اياته والله عليم حكيم
2850,24,60,وَٱلۡقَوَٰعِدُ مِنَ ٱلنِّسَآءِ ٱلَّـٰتِي لَا يَرۡجُونَ نِكَاحٗا فَلَيۡسَ عَلَيۡهِنَّ جُنَاحٌ أَن يَضَعۡنَ ثِيَابَهُنَّ غَيۡرَ مُتَبَرِّجَٰتِۭ بِزِينَةٖۖ وَأَن يَسۡتَعۡفِفۡنَ خَيۡرٞ لَّهُنَّۗ وَٱللَّهُ سَمِيعٌ عَلِيمٞ,"والعجائز اللاتي قعدن عن الحيض والحمل لكبرهن، اللاتي لا يطمعن في النكاح فليس عليهنّ إثم أن يضعن بعض ثيابهنّ كالرداء والقناع، غير مظهرات للزينة الخفية التي أُمِرْن بسترها، وأن يتركن وضع تلك الثياب خير لهنّ من وضعها إمعانًا في الستر والتعفف، والله سميع لأقوالكم، عليم بأفعالكم، لا يخفى عليه شيء من ذلك، وسيجازيكم عليها.",والقواعد من النساء اللاتي لا يرجون نكاحا فليس عليهن جناح ان يضعن ثيابهن غير متبرجات بزينة وان يستعففن خير لهن والله سميع عليم
2851,24,61,لَّيۡسَ عَلَى ٱلۡأَعۡمَىٰ حَرَجٞ وَلَا عَلَى ٱلۡأَعۡرَجِ حَرَجٞ وَلَا عَلَى ٱلۡمَرِيضِ حَرَجٞ وَلَا عَلَىٰٓ أَنفُسِكُمۡ أَن تَأۡكُلُواْ مِنۢ بُيُوتِكُمۡ أَوۡ بُيُوتِ ءَابَآئِكُمۡ أَوۡ بُيُوتِ أُمَّهَٰتِكُمۡ أَوۡ بُيُوتِ إِخۡوَٰنِكُمۡ أَوۡ بُيُوتِ أَخَوَٰتِكُمۡ أَوۡ بُيُوتِ أَعۡمَٰمِكُمۡ أَوۡ بُيُوتِ عَمَّـٰتِكُمۡ أَوۡ بُيُوتِ أَخۡوَٰلِكُمۡ أَوۡ بُيُوتِ خَٰلَٰتِكُمۡ أَوۡ مَا مَلَكۡتُم مَّفَاتِحَهُۥٓ أَوۡ صَدِيقِكُمۡۚ لَيۡسَ عَلَيۡكُمۡ جُنَاحٌ أَن تَأۡكُلُواْ جَمِيعًا أَوۡ أَشۡتَاتٗاۚ فَإِذَا دَخَلۡتُم بُيُوتٗا فَسَلِّمُواْ عَلَىٰٓ أَنفُسِكُمۡ تَحِيَّةٗ مِّنۡ عِندِ ٱللَّهِ مُبَٰرَكَةٗ طَيِّبَةٗۚ كَذَٰلِكَ يُبَيِّنُ ٱللَّهُ لَكُمُ ٱلۡأٓيَٰتِ لَعَلَّكُمۡ تَعۡقِلُونَ,"ليس على الأعمى الذي فقد بصره إثم، ولا على الأعرج إثم، ولا على المريض إثم؛ إن تركوا ما لا يستطيعون القيام به من التكاليف كالجهاد في سبيل الله، وليس عليكم - أيها المؤمنون - إثم في الأكل من بيوتكم، ومنها بيوت أبنائكم، ولا في الأكل من بيوت آبائكم أو أمهاتكم أو إخوانكم أو أخواتكم أو أعمامكم أو عماتكم، أو أخوالكم أو خالاتكم، أو ما وُكِّلتم على حفظه من البيوت مثل حارس البستان، ولا حرج في الأكل من بيوت صديقكم لطيب نفسه عادة بذلك، ليس عليكم إثم أن تأكلوا مجتمعين أو فُرَادَى، فإذا دخلتم بيوتًا مثل البيوت المذكورة وغيرها فسلّموا على من فيها بأن تقولوا: السلام عليكم، فإن لم يكن فيها أحد فسلموا على أنفسكم بأن تقولوا: السلام علينا وعلى عباد الله الصالحين، تحية من عند الله شرعها لكم مباركة؛ لِمَا تنشره من المودة والألفة بينكم، طيبة تطيب بها نفس سامعها، بمثل هذا التبيين المتقدم في السورة يبيّن الله الآيات رجاء أن تعقلوها، وتعملوا بما فيها.",ليس على الاعمى حرج ولا على الاعرج حرج ولا على المريض حرج ولا على انفسكم ان تاكلوا من بيوتكم او بيوت ابائكم او بيوت امهاتكم او بيوت اخوانكم او بيوت اخواتكم او بيوت اعمامكم او بيوت عماتكم او بيوت اخوالكم او بيوت خالاتكم او ما ملكتم مفاتحه او صديقكم ليس عليكم جناح ان تاكلوا جميعا او اشتاتا فاذا دخلتم بيوتا فسلموا على انفسكم تحية من عند الله مباركة طيبة كذلك يبين الله لكم الايات لعلكم تعقلون
2852,24,62,إِنَّمَا ٱلۡمُؤۡمِنُونَ ٱلَّذِينَ ءَامَنُواْ بِٱللَّهِ وَرَسُولِهِۦ وَإِذَا كَانُواْ مَعَهُۥ عَلَىٰٓ أَمۡرٖ جَامِعٖ لَّمۡ يَذۡهَبُواْ حَتَّىٰ يَسۡتَـٔۡذِنُوهُۚ إِنَّ ٱلَّذِينَ يَسۡتَـٔۡذِنُونَكَ أُوْلَـٰٓئِكَ ٱلَّذِينَ يُؤۡمِنُونَ بِٱللَّهِ وَرَسُولِهِۦۚ فَإِذَا ٱسۡتَـٔۡذَنُوكَ لِبَعۡضِ شَأۡنِهِمۡ فَأۡذَن لِّمَن شِئۡتَ مِنۡهُمۡ وَٱسۡتَغۡفِرۡ لَهُمُ ٱللَّهَۚ إِنَّ ٱللَّهَ غَفُورٞ رَّحِيمٞ,"إنما المؤمنون الصادقون في إيمانهم هم الذين آمنوا بالله وآمنوا برسوله، وإذا كانوا مع النبي صلى الله عليه وسلم في أمر يجمعهم لمصلحة المسلمين، لم ينصرفوا حتى يطلبوا منه الإذن في الانصراف، إن الذين يطلبون منك - أيها الرسول - الإذن عند الانصراف أولئك الذين يؤمنون بالله، ويؤمنون برسوله حقًّا، فإذا طلبوا منك الإذن لبعض أمر يهمهم فأْذَنْ لمن شئت أن تأذن له منهم، واطلب لهم المغفرة لذنوبهم، إن الله غفور لذنوب من تاب من عباده، رحيم بهم.",انما المؤمنون الذين امنوا بالله ورسوله واذا كانوا معه على امر جامع لم يذهبوا حتى يستاذنوه ان الذين يستاذنونك اولئك الذين يؤمنون بالله ورسوله فاذا استاذنوك لبعض شانهم فاذن لمن شئت منهم واستغفر لهم الله ان الله غفور رحيم
2853,24,63,لَّا تَجۡعَلُواْ دُعَآءَ ٱلرَّسُولِ بَيۡنَكُمۡ كَدُعَآءِ بَعۡضِكُم بَعۡضٗاۚ قَدۡ يَعۡلَمُ ٱللَّهُ ٱلَّذِينَ يَتَسَلَّلُونَ مِنكُمۡ لِوَاذٗاۚ فَلۡيَحۡذَرِ ٱلَّذِينَ يُخَالِفُونَ عَنۡ أَمۡرِهِۦٓ أَن تُصِيبَهُمۡ فِتۡنَةٌ أَوۡ يُصِيبَهُمۡ عَذَابٌ أَلِيمٌ,"شَرِّفُوا - أيها المؤمنون - رسول الله، فإذا ناديتموه فلا تنادوه باسمه مثل: يا محمد، أو باسم أبيه مثل: يا ابن عبد الله، كما يفعل بعضكم مع بعض، ولكن قولوا: يا رسول الله، يا نبيّ الله، وإذا دعاكم لأمر عام فلا تجعلوا دعوته كدعوة بعضكم بعضًا في الأمور التافهة عادة، بل سارعوا إلى الاستجابة لها، فإن الله يعلم الذين ينصرفون منكم خفية دون إذن، فليحذر الذين يخالفون أمر رسول الله صلى الله عليه وسلم أن يصيبهم الله بمحنة وبلاء، أو يصيبهم بعذاب موجع لا صبر لهم عليه.",لا تجعلوا دعاء الرسول بينكم كدعاء بعضكم بعضا قد يعلم الله الذين يتسللون منكم لواذا فليحذر الذين يخالفون عن امره ان تصيبهم فتنة او يصيبهم عذاب اليم
2854,24,64,أَلَآ إِنَّ لِلَّهِ مَا فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۖ قَدۡ يَعۡلَمُ مَآ أَنتُمۡ عَلَيۡهِ وَيَوۡمَ يُرۡجَعُونَ إِلَيۡهِ فَيُنَبِّئُهُم بِمَا عَمِلُواْۗ وَٱللَّهُ بِكُلِّ شَيۡءٍ عَلِيمُۢ,"ألا إن لله وحده ما في السماوات وما في الأرض خلقًا وملكًا وتدبيرًا، يعلم ما أنتم - أيها الناس - عليه من الأحوال، لا يخفى عليه منها شيء، ويوم القيامة - حين يرجعون إليه بالبعث بعد الموت - يخبرهم بما عملوا من أعمال في الدنيا، والله بكل شيء عليم، لا يخفى عليه شيء في السماوات ولا في الأرض.",الا ان لله ما في السماوات والارض قد يعلم ما انتم عليه ويوم يرجعون اليه فينبئهم بما عملوا والله بكل شيء عليم
2855,25,1,تَبَارَكَ ٱلَّذِي نَزَّلَ ٱلۡفُرۡقَانَ عَلَىٰ عَبۡدِهِۦ لِيَكُونَ لِلۡعَٰلَمِينَ نَذِيرًا,"تعاظَم وكَثُرَ خيرُ الذي نزّل القرآن فارقًا بين الحق والباطل على عبده ورسوله محمد صلى الله عليه وسلم؛ ليكون رسولًا إلى الثقلين الإنس والجنّ، مخوّفًا لهم من عذاب الله.",تبارك الذي نزل الفرقان على عبده ليكون للعالمين نذيرا
2856,25,2,ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَلَمۡ يَتَّخِذۡ وَلَدٗا وَلَمۡ يَكُن لَّهُۥ شَرِيكٞ فِي ٱلۡمُلۡكِ وَخَلَقَ كُلَّ شَيۡءٖ فَقَدَّرَهُۥ تَقۡدِيرٗا,"الذي له وحده ملك السماوات وملك الأرض، ولم يتّخذ ولدًا، ولم يكن له شريك في ملكه، وخلق جميع الأشياء، فقدّر خلقها وفق ما يقتضيه علمه وحكمته تقديرًا، كل بما يناسبه.",الذي له ملك السماوات والارض ولم يتخذ ولدا ولم يكن له شريك في الملك وخلق كل شيء فقدره تقديرا
2857,25,3,وَٱتَّخَذُواْ مِن دُونِهِۦٓ ءَالِهَةٗ لَّا يَخۡلُقُونَ شَيۡـٔٗا وَهُمۡ يُخۡلَقُونَ وَلَا يَمۡلِكُونَ لِأَنفُسِهِمۡ ضَرّٗا وَلَا نَفۡعٗا وَلَا يَمۡلِكُونَ مَوۡتٗا وَلَا حَيَوٰةٗ وَلَا نُشُورٗا,"واتّخذ المشركون من دون الله معبودات لا يَخلقون شيئًا صغيرًا أو كبيرًا وهم يُخلقون، فقد خلقهم الله من عدم، ولا يستطيعون دفع ضرّ عن أنفسهم، ولا جلب نفع لها، ولا يستطيعون إماتة حيّ، ولا إحياء ميّت، ولا يستطيعون بعث الموتى من قبورهم.",واتخذوا من دونه الهة لا يخلقون شيئا وهم يخلقون ولا يملكون لانفسهم ضرا ولا نفعا ولا يملكون موتا ولا حياة ولا نشورا
2858,25,4,وَقَالَ ٱلَّذِينَ كَفَرُوٓاْ إِنۡ هَٰذَآ إِلَّآ إِفۡكٌ ٱفۡتَرَىٰهُ وَأَعَانَهُۥ عَلَيۡهِ قَوۡمٌ ءَاخَرُونَۖ فَقَدۡ جَآءُو ظُلۡمٗا وَزُورٗا,"وقال الذين كفروا بالله وبرسوله: ما هذا القرآن إلا كذب اختلقه محمد فنسبه بهتانًا إلى الله، وأعانه على اختلاقه أناس آخرون، فقد افترى هؤلاء الكافرون قولًا باطلًا، فالقرآن كلام الله، لا يمكن أن يأتي البشر ولا الجن بمثله.",وقال الذين كفروا ان هذا الا افك افتراه واعانه عليه قوم اخرون فقد جاءوا ظلما وزورا
2859,25,5,وَقَالُوٓاْ أَسَٰطِيرُ ٱلۡأَوَّلِينَ ٱكۡتَتَبَهَا فَهِيَ تُمۡلَىٰ عَلَيۡهِ بُكۡرَةٗ وَأَصِيلٗا,"وقال هؤلاء المكذبون بالقرآن: القرآن أحاديث الأولين وما يسطّرونه من الأباطيل، استنسخها محمد، فهي تُقْرأ عليه أول النهار وآخره.",وقالوا اساطير الاولين اكتتبها فهي تملى عليه بكرة واصيلا
2860,25,6,قُلۡ أَنزَلَهُ ٱلَّذِي يَعۡلَمُ ٱلسِّرَّ فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ إِنَّهُۥ كَانَ غَفُورٗا رَّحِيمٗا,"قل - أيها الرسول - لهؤلاء المكذبين: أنزل القرآنَ اللهُ الذي يعلم كل شيء في السماوات والأرض، وليس مُخْتَلَقًا كما زعمتم، ثم قال مرغبًا لهم بالتوبة: إن الله غفور لمن تاب من عباده، رحيم بهم.",قل انزله الذي يعلم السر في السماوات والارض انه كان غفورا رحيما
2861,25,7,وَقَالُواْ مَالِ هَٰذَا ٱلرَّسُولِ يَأۡكُلُ ٱلطَّعَامَ وَيَمۡشِي فِي ٱلۡأَسۡوَاقِ لَوۡلَآ أُنزِلَ إِلَيۡهِ مَلَكٞ فَيَكُونَ مَعَهُۥ نَذِيرًا,"وقال المشركون المكذبون بالنبي صلى الله عليه وسلم: ما لهذا الذي يزعم أنه رسول من عند الله يأكل الطعام كما يأكل غيره من الناس، ويسير في الأسواق بحثًا عن المعاش، هلَّا أنزل الله معه ملكًا يكون رفيقه يصدقه ويساعده.",وقالوا مال هذا الرسول ياكل الطعام ويمشي في الاسواق لولا انزل اليه ملك فيكون معه نذيرا
2862,25,8,أَوۡ يُلۡقَىٰٓ إِلَيۡهِ كَنزٌ أَوۡ تَكُونُ لَهُۥ جَنَّةٞ يَأۡكُلُ مِنۡهَاۚ وَقَالَ ٱلظَّـٰلِمُونَ إِن تَتَّبِعُونَ إِلَّا رَجُلٗا مَّسۡحُورًا,"أو ينزل عليه كنز من السماء، أو تكون له حديقة يأكل من ثمرها، فيستغني عن المشي في الأسواق وطلب الرزق، وقال الظالمون: ما تتبعون - أيها المؤمنون - رسولًا، وإنما تتبعون رجلًا مغلوبًا على عقله بسبب السحر.",او يلقى اليه كنز او تكون له جنة ياكل منها وقال الظالمون ان تتبعون الا رجلا مسحورا
2863,25,9,ٱنظُرۡ كَيۡفَ ضَرَبُواْ لَكَ ٱلۡأَمۡثَٰلَ فَضَلُّواْ فَلَا يَسۡتَطِيعُونَ سَبِيلٗا,"انظر - أيها الرسول - لتتعجب منهم كيف وصفوك بأوصاف باطلة، فقالوا: ساحر، وقالوا: مسحور، وقالوا: مجنون، فضلّوا بسبب ذلك عن الحق، فلا يستطيعون سلوك طريق للهداية، ولا يستطيعون سبيلًا إلى القدح في صدقك وأمانتك.",انظر كيف ضربوا لك الامثال فضلوا فلا يستطيعون سبيلا
2864,25,10,تَبَارَكَ ٱلَّذِيٓ إِن شَآءَ جَعَلَ لَكَ خَيۡرٗا مِّن ذَٰلِكَ جَنَّـٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُ وَيَجۡعَل لَّكَ قُصُورَۢا,"تبارك الله الذي إن شاء جعل لك خيرًا مما اقترحوه لك، بأن يجعل لك في الدنيا حدائق تجري الأنهار من تحت قصورها وأشجارها تأكل من ثمارها، ويجعل لك قصورًا تسكن فيها مُنَعَّمًا.",تبارك الذي ان شاء جعل لك خيرا من ذلك جنات تجري من تحتها الانهار ويجعل لك قصورا
2865,25,11,بَلۡ كَذَّبُواْ بِٱلسَّاعَةِۖ وَأَعۡتَدۡنَا لِمَن كَذَّبَ بِٱلسَّاعَةِ سَعِيرًا,"ولم يصدر منهم ما صدر من الأقوال طلبًا للحق وبحثًا عن البرهان، بل الحاصل أنهم كذبوا بيوم القيامة، وأعددنا لمن كذب بيوم القيامة نارًا عظيمة شديدة الاشتعال.",بل كذبوا بالساعة واعتدنا لمن كذب بالساعة سعيرا
2866,25,12,إِذَا رَأَتۡهُم مِّن مَّكَانِۭ بَعِيدٖ سَمِعُواْ لَهَا تَغَيُّظٗا وَزَفِيرٗا,"إذا عاينَتِ النارُ الكفارَ وهم يساقون إليها من مكان بعيد سمعوا لها غليانًا شديدًا، وصوتًا مزعجًا من شدة غضبها عليهم.",اذا راتهم من مكان بعيد سمعوا لها تغيظا وزفيرا
2867,25,13,وَإِذَآ أُلۡقُواْ مِنۡهَا مَكَانٗا ضَيِّقٗا مُّقَرَّنِينَ دَعَوۡاْ هُنَالِكَ ثُبُورٗا,وإذا رُمِي هؤلاء الكفار في جهنم في مكان ضيق منها مقرونة أيديهم إلى أعناقهم بالسلاسل دعوا على أنفسهم بالهلاك؛ رجاء الخلاص منها.,واذا القوا منها مكانا ضيقا مقرنين دعوا هنالك ثبورا
2868,25,14,لَّا تَدۡعُواْ ٱلۡيَوۡمَ ثُبُورٗا وَٰحِدٗا وَٱدۡعُواْ ثُبُورٗا كَثِيرٗا,"لا تدعوا - أيها الكفار - اليوم هلاكًا واحدًا، وادعوا هلاكًا كثيرًا، لكن لن تجابوا إلى ما تطلبون، بل ستبقون في العذاب الأليم خالدين.",لا تدعوا اليوم ثبورا واحدا وادعوا ثبورا كثيرا
2869,25,15,قُلۡ أَذَٰلِكَ خَيۡرٌ أَمۡ جَنَّةُ ٱلۡخُلۡدِ ٱلَّتِي وُعِدَ ٱلۡمُتَّقُونَۚ كَانَتۡ لَهُمۡ جَزَآءٗ وَمَصِيرٗا,"قل لهم - أيها الرسول -: أذلك المذكور من العذاب الذي وُصِف لكم خير أم جنة الخلد التي يدوم نعيمها، ولا ينقطع أبدًا؟ وهي التي وعد الله المتقين من عباده المؤمنين أن تكون لهم ثوابًا، ومرجعًا يرجعون إليه يوم القيامة.",قل اذلك خير ام جنة الخلد التي وعد المتقون كانت لهم جزاء ومصيرا
2870,25,16,لَّهُمۡ فِيهَا مَا يَشَآءُونَ خَٰلِدِينَۚ كَانَ عَلَىٰ رَبِّكَ وَعۡدٗا مَّسۡـُٔولٗا,"لهم في هذه الجنة ما يشاؤون من النعيم، كان ذلك على الله وعدًا، يسأله إياه عباده المتقون، ووعد الله متحقق، فهو لا يخلف الميعاد.",لهم فيها ما يشاءون خالدين كان على ربك وعدا مسئولا
